Product Code,Country,Region,Subregion,Producer,Vintage,Type,Winemaker,Alcohol,Bottle Size,Description,Price
FR00197,France,Rhône Valley,Brézème,Éric Texier 'Adèle' Côtes du Rhône Blanc,2016,White,Éric Texier,10.50%,750 ml,TBC,***
FR00198,France,Loire,Pouilly-Fumé,Alexandre Bain 'Champ Couturier',2015,White,Alexandre Bain,12.70%,750 ml,TBC,***
FR00199,France,Loire,Pouilly-Fumé,Alexandre Bain 'Pierre Précieuse',2015,White,Alexandre Bain,12.50%,750 ml,TBC,***
FR00200,France,Bordeaux,Margaux,Château Palmer 'Alter Ego de Palmer',2008,Red,Thomas Duroux,13.50%,750 ml,TBC,***
